"",BBK01.WT3219,BBK01.WT3219_FLAGS
2011-04-12,2.83,
2011-04-13,2.82,
2011-04-14,2.77,
2011-04-15,2.79,
2011-04-16,.,No value available
2011-04-17,.,No value available
2011-04-18,2.71,
2011-04-19,2.68,
2011-04-20,2.72,
2011-04-21,2.72,
2011-04-22,.,No value available
2011-04-23,.,No value available
2011-04-24,.,No value available
2011-04-25,.,No value available
2011-04-26,2.65,
2011-04-27,2.65,
2011-04-28,2.69,
2011-04-29,2.67,
2011-04-30,.,No value available
2011-05-01,.,No value available
2011-05-02,2.67,
2011-05-03,2.67,
2011-05-04,2.74,
2011-05-05,2.76,
2011-05-06,2.58,
2011-05-07,.,No value available
2011-05-08,.,No value available
2011-05-09,2.55,
2011-05-10,2.53,
2011-05-11,2.54,
2011-05-12,2.47,
2011-05-13,2.51,
2011-05-14,.,No value available
2011-05-15,.,No value available
2011-05-16,2.46,
2011-05-17,2.52,
2011-05-18,2.49,
2011-05-19,2.52,
2011-05-20,2.51,
2011-05-21,.,No value available
2011-05-22,.,No value available
2011-05-23,2.38,
2011-05-24,2.41,
2011-05-25,2.38,
2011-05-26,2.39,
2011-05-27,2.31,
2011-05-28,.,No value available
2011-05-29,.,No value available
2011-05-30,2.32,
2011-05-31,2.38,
2011-06-01,2.37,
2011-06-02,2.32,
2011-06-03,2.37,
2011-06-04,.,No value available
2011-06-05,.,No value available
2011-06-06,2.38,
2011-06-07,2.39,
2011-06-08,2.41,
2011-06-09,2.36,
2011-06-10,2.30,
2011-06-11,.,No value available
2011-06-12,.,No value available
2011-06-13,2.22,
2011-06-14,2.25,
2011-06-15,2.27,
2011-06-16,2.15,
2011-06-17,2.18,
2011-06-18,.,No value available
2011-06-19,.,No value available
2011-06-20,2.17,
2011-06-21,2.20,
2011-06-22,2.21,
2011-06-23,2.17,
2011-06-24,2.11,
2011-06-25,.,No value available
2011-06-26,.,No value available
2011-06-27,2.08,
2011-06-28,2.09,
2011-06-29,2.22,
2011-06-30,2.27,
2011-07-01,2.33,
2011-07-02,.,No value available
2011-07-03,.,No value available
2011-07-04,2.34,
2011-07-05,2.32,
2011-07-06,2.24,
2011-07-07,2.25,
2011-07-08,2.21,
2011-07-09,.,No value available
2011-07-10,.,No value available
2011-07-11,2.04,
2011-07-12,1.86,
2011-07-13,1.96,
2011-07-14,1.96,
2011-07-15,1.91,
2011-07-16,.,No value available
2011-07-17,.,No value available
2011-07-18,1.87,
2011-07-19,1.94,
2011-07-20,1.96,
2011-07-21,2.02,
2011-07-22,2.17,
2011-07-23,.,No value available
2011-07-24,.,No value available
2011-07-25,2.05,
2011-07-26,2.00,
2011-07-27,1.96,
2011-07-28,1.89,
2011-07-29,1.87,
2011-07-30,.,No value available
2011-07-31,.,No value available
2011-08-01,1.84,
2011-08-02,1.63,
2011-08-03,1.69,
2011-08-04,1.70,
2011-08-05,1.56,
2011-08-06,.,No value available
2011-08-07,.,No value available
2011-08-08,1.59,
2011-08-09,1.51,
2011-08-10,1.53,
2011-08-11,1.41,
2011-08-12,1.50,
2011-08-13,.,No value available
2011-08-14,.,No value available
2011-08-15,1.52,
2011-08-16,1.46,
2011-08-17,1.44,
2011-08-18,1.34,
2011-08-19,1.31,
2011-08-20,.,No value available
2011-08-21,.,No value available
2011-08-22,1.35,
2011-08-23,1.36,
2011-08-24,1.34,
2011-08-25,1.42,
2011-08-26,1.36,
2011-08-27,.,No value available
2011-08-28,.,No value available
2011-08-29,1.35,
2011-08-30,1.35,
2011-08-31,1.36,
2011-09-01,1.37,
2011-09-02,1.27,
2011-09-03,.,No value available
2011-09-04,.,No value available
2011-09-05,1.13,
2011-09-06,1.12,
2011-09-07,1.11,
2011-09-08,1.10,
2011-09-09,1.00,
2011-09-10,.,No value available
2011-09-11,.,No value available
2011-09-12,0.94,
2011-09-13,0.95,
2011-09-14,1.04,
2011-09-15,1.18,
2011-09-16,1.18,
2011-09-17,.,No value available
2011-09-18,.,No value available
2011-09-19,1.04,
2011-09-20,1.05,
2011-09-21,1.06,
2011-09-22,0.97,
2011-09-23,0.98,
2011-09-24,.,No value available
2011-09-25,.,No value available
2011-09-26,1.06,
2011-09-27,1.14,
2011-09-28,1.23,
2011-09-29,1.22,
2011-09-30,1.24,
2011-10-01,.,No value available
2011-10-02,.,No value available
2011-10-03,1.09,
2011-10-04,1.03,
2011-10-05,1.04,
2011-10-06,1.14,
2011-10-07,1.21,
2011-10-08,.,No value available
2011-10-09,.,No value available
2011-10-10,1.28,
2011-10-11,1.28,
2011-10-12,1.37,
2011-10-13,1.39,
2011-10-14,1.39,
2011-10-15,.,No value available
2011-10-16,.,No value available
2011-10-17,1.41,
2011-10-18,1.22,
2011-10-19,1.31,
2011-10-20,1.29,
2011-10-21,1.26,
2011-10-22,.,No value available
2011-10-23,.,No value available
2011-10-24,1.27,
2011-10-25,1.35,
2011-10-26,1.25,
2011-10-27,1.26,
2011-10-28,1.41,
2011-10-29,.,No value available
2011-10-30,.,No value available
2011-10-31,1.27,
2011-11-01,1.05,
2011-11-02,1.03,
2011-11-03,1.05,
2011-11-04,1.07,
2011-11-05,.,No value available
2011-11-06,.,No value available
2011-11-07,0.94,
2011-11-08,0.99,
2011-11-09,0.93,
2011-11-10,0.99,
2011-11-11,0.99,
2011-11-12,.,No value available
2011-11-13,.,No value available
2011-11-14,1.01,
2011-11-15,0.92,
2011-11-16,0.99,
2011-11-17,0.97,
2011-11-18,1.08,
2011-11-19,.,No value available
2011-11-20,.,No value available
2011-11-21,1.05,
2011-11-22,1.07,
2011-11-23,1.08,
2011-11-24,1.27,
2011-11-25,1.25,
2011-11-26,.,No value available
2011-11-27,.,No value available
2011-11-28,1.32,
2011-11-29,1.34,
2011-11-30,1.32,
2011-12-01,1.23,
2011-12-02,1.15,
2011-12-03,.,No value available
2011-12-04,.,No value available
2011-12-05,1.16,
2011-12-06,1.19,
2011-12-07,1.15,
2011-12-08,1.11,
2011-12-09,1.08,
2011-12-10,.,No value available
2011-12-11,.,No value available
2011-12-12,1.07,
2011-12-13,1.07,
2011-12-14,1.05,
2011-12-15,0.96,
2011-12-16,0.95,
2011-12-17,.,No value available
2011-12-18,.,No value available
2011-12-19,0.93,
2011-12-20,0.94,
2011-12-21,1.00,
2011-12-22,1.00,
2011-12-23,0.97,
2011-12-24,.,No value available
2011-12-25,.,No value available
2011-12-26,.,No value available
2011-12-27,0.97,
2011-12-28,0.94,
2011-12-29,0.91,
2011-12-30,0.87,
2011-12-31,.,No value available
2012-01-01,.,No value available
2012-01-02,0.89,
2012-01-03,0.93,
2012-01-04,0.93,
2012-01-05,0.91,
2012-01-06,0.90,
2012-01-07,.,No value available
2012-01-08,.,No value available
2012-01-09,0.90,
2012-01-10,0.89,
2012-01-11,0.90,
2012-01-12,0.85,
2012-01-13,0.82,
2012-01-14,.,No value available
2012-01-15,.,No value available
2012-01-16,0.79,
2012-01-17,0.82,
2012-01-18,0.83,
2012-01-19,0.83,
2012-01-20,0.90,
2012-01-21,.,No value available
2012-01-22,.,No value available
2012-01-23,0.91,
2012-01-24,0.96,
2012-01-25,0.97,
2012-01-26,0.93,
2012-01-27,0.88,
2012-01-28,.,No value available
2012-01-29,.,No value available
2012-01-30,0.84,
2012-01-31,0.84,
2012-02-01,0.82,
2012-02-02,0.81,
2012-02-03,0.85,
2012-02-04,.,No value available
2012-02-05,.,No value available
2012-02-06,0.87,
2012-02-07,0.86,
2012-02-08,0.95,
2012-02-09,0.96,
2012-02-10,0.98,
2012-02-11,.,No value available
2012-02-12,.,No value available
2012-02-13,0.97,
2012-02-14,0.95,
2012-02-15,0.94,
2012-02-16,0.85,
2012-02-17,0.92,
2012-02-18,.,No value available
2012-02-19,.,No value available
2012-02-20,0.95,
2012-02-21,0.97,
2012-02-22,0.94,
2012-02-23,0.92,
2012-02-24,0.91,
2012-02-25,.,No value available
2012-02-26,.,No value available
2012-02-27,0.88,
2012-02-28,0.84,
2012-02-29,0.85,
2012-03-01,0.85,
2012-03-02,0.85,
2012-03-03,.,No value available
2012-03-04,.,No value available
2012-03-05,0.82,
2012-03-06,0.80,
2012-03-07,0.81,
2012-03-08,0.82,
2012-03-09,0.81,
2012-03-10,.,No value available
2012-03-11,.,No value available
2012-03-12,0.80,
2012-03-13,0.79,
2012-03-14,0.89,
2012-03-15,0.98,
2012-03-16,1.01,
2012-03-17,.,No value available
2012-03-18,.,No value available
2012-03-19,1.06,
2012-03-20,1.08,
2012-03-21,1.09,
2012-03-22,0.97,
2012-03-23,0.93,
2012-03-24,.,No value available
2012-03-25,.,No value available
2012-03-26,0.91,
2012-03-27,0.96,
2012-03-28,0.92,
2012-03-29,0.88,
2012-03-30,0.86,
2012-03-31,.,No value available
2012-04-01,.,No value available
2012-04-02,0.88,
2012-04-03,0.86,
2012-04-04,0.85,
2012-04-05,0.79,
2012-04-06,.,No value available
2012-04-07,.,No value available
2012-04-08,.,No value available
2012-04-09,.,No value available
2012-04-10,0.73,
2012-04-11,0.71,
2012-04-12,0.72,
2012-04-13,0.71,
2012-04-14,.,No value available
2012-04-15,.,No value available
2012-04-16,0.71,
2012-04-17,0.74,
2012-04-18,0.73,
2012-04-19,0.73,
2012-04-20,0.70,
2012-04-21,.,No value available
2012-04-22,.,No value available
2012-04-23,0.68,
2012-04-24,0.69,
2012-04-25,0.73,
2012-04-26,0.70,
2012-04-27,0.67,
2012-04-28,.,No value available
2012-04-29,.,No value available
2012-04-30,0.66,
2012-05-01,.,No value available
2012-05-02,0.65,
2012-05-03,0.63,
2012-05-04,0.63,
2012-05-05,.,No value available
2012-05-06,.,No value available
2012-05-07,0.60,
2012-05-08,0.61,
2012-05-09,0.59,
2012-05-10,0.55,
2012-05-11,0.58,
2012-05-12,.,No value available
2012-05-13,.,No value available
2012-05-14,0.53,
2012-05-15,0.55,
2012-05-16,0.55,
2012-05-17,0.55,
2012-05-18,0.51,
2012-05-19,.,No value available
2012-05-20,.,No value available
2012-05-21,0.56,
2012-05-22,0.55,
2012-05-23,0.53,
2012-05-24,0.49,
2012-05-25,0.52,
2012-05-26,.,No value available
2012-05-27,.,No value available
2012-05-28,0.49,
2012-05-29,0.48,
2012-05-30,0.45,
2012-05-31,0.44,
2012-06-01,0.37,
2012-06-02,.,No value available
2012-06-03,.,No value available
2012-06-04,0.38,
2012-06-05,0.39,
2012-06-06,0.45,
2012-06-07,0.53,
2012-06-08,0.48,
2012-06-09,.,No value available
2012-06-10,.,No value available
2012-06-11,0.54,
2012-06-12,0.52,
2012-06-13,0.64,
2012-06-14,0.62,
2012-06-15,0.60,
2012-06-16,.,No value available
2012-06-17,.,No value available
2012-06-18,0.55,
2012-06-19,0.55,
2012-06-20,0.67,
2012-06-21,0.71,
2012-06-22,0.64,
2012-06-23,.,No value available
2012-06-24,.,No value available
2012-06-25,0.62,
2012-06-26,0.61,
2012-06-27,0.64,
2012-06-28,0.62,
2012-06-29,0.68,
2012-06-30,.,No value available
2012-07-01,.,No value available
2012-07-02,0.66,
2012-07-03,0.62,
2012-07-04,0.58,
2012-07-05,0.56,
2012-07-06,0.44,
2012-07-07,.,No value available
2012-07-08,.,No value available
2012-07-09,0.41,
2012-07-10,0.42,
2012-07-11,0.42,
2012-07-12,0.38,
2012-07-13,0.35,
2012-07-14,.,No value available
2012-07-15,.,No value available
2012-07-16,0.35,
2012-07-17,0.36,
2012-07-18,0.34,
2012-07-19,0.33,
2012-07-20,0.33,
2012-07-21,.,No value available
2012-07-22,.,No value available
2012-07-23,0.30,
2012-07-24,0.38,
2012-07-25,0.37,
2012-07-26,0.36,
2012-07-27,0.40,
2012-07-28,.,No value available
2012-07-29,.,No value available
2012-07-30,0.43,
2012-07-31,0.41,
2012-08-01,0.40,
2012-08-02,0.44,
2012-08-03,0.40,
2012-08-04,.,No value available
2012-08-05,.,No value available
2012-08-06,0.45,
2012-08-07,0.46,
2012-08-08,0.48,
2012-08-09,0.49,
2012-08-10,0.44,
2012-08-11,.,No value available
2012-08-12,.,No value available
2012-08-13,0.45,
2012-08-14,0.47,
2012-08-15,0.53,
2012-08-16,0.56,
2012-08-17,0.56,
2012-08-18,.,No value available
2012-08-19,.,No value available
2012-08-20,0.57,
2012-08-21,0.56,
2012-08-22,0.55,
2012-08-23,0.48,
2012-08-24,0.44,
2012-08-25,.,No value available
2012-08-26,.,No value available
2012-08-27,0.44,
2012-08-28,0.46,
2012-08-29,0.41,
2012-08-30,0.45,
2012-08-31,0.44,
2012-09-01,.,No value available
2012-09-02,.,No value available
2012-09-03,0.41,
2012-09-04,0.47,
2012-09-05,0.43,
2012-09-06,0.52,
2012-09-07,0.60,
2012-09-08,.,No value available
2012-09-09,.,No value available
2012-09-10,0.55,
2012-09-11,0.55,
2012-09-12,0.62,
2012-09-13,0.62,
2012-09-14,0.64,
2012-09-15,.,No value available
2012-09-16,.,No value available
2012-09-17,0.67,
2012-09-18,0.62,
2012-09-19,0.65,
2012-09-20,0.60,
2012-09-21,0.62,
2012-09-22,.,No value available
2012-09-23,.,No value available
2012-09-24,0.58,
2012-09-25,0.55,
2012-09-26,0.57,
2012-09-27,0.52,
2012-09-28,0.53,
2012-09-29,.,No value available
2012-09-30,.,No value available
2012-10-01,0.54,
2012-10-02,0.54,
2012-10-03,0.53,
2012-10-04,0.50,
2012-10-05,0.52,
2012-10-06,.,No value available
2012-10-07,.,No value available
2012-10-08,0.54,
2012-10-09,0.54,
2012-10-10,0.54,
2012-10-11,0.52,
2012-10-12,0.54,
2012-10-13,.,No value available
2012-10-14,.,No value available
2012-10-15,0.53,
2012-10-16,0.54,
2012-10-17,0.61,
2012-10-18,0.67,
2012-10-19,0.66,
2012-10-20,.,No value available
2012-10-21,.,No value available
2012-10-22,0.66,
2012-10-23,0.66,
2012-10-24,0.63,
2012-10-25,0.65,
2012-10-26,0.59,
2012-10-27,.,No value available
2012-10-28,.,No value available
2012-10-29,0.54,
2012-10-30,0.53,
2012-10-31,0.55,
2012-11-01,0.53,
2012-11-02,0.50,
2012-11-03,.,No value available
2012-11-04,.,No value available
2012-11-05,0.48,
2012-11-06,0.48,
2012-11-07,0.47,
2012-11-08,0.42,
2012-11-09,0.40,
2012-11-10,.,No value available
2012-11-11,.,No value available
2012-11-12,0.41,
2012-11-13,0.39,
2012-11-14,0.42,
2012-11-15,0.41,
2012-11-16,0.41,
2012-11-17,.,No value available
2012-11-18,.,No value available
2012-11-19,0.41,
2012-11-20,0.43,
2012-11-21,0.45,
2012-11-22,0.49,
2012-11-23,0.47,
2012-11-24,.,No value available
2012-11-25,.,No value available
2012-11-26,0.47,
2012-11-27,0.47,
2012-11-28,0.47,
2012-11-29,0.45,
2012-11-30,0.45,
2012-12-01,.,No value available
2012-12-02,.,No value available
2012-12-03,0.45,
2012-12-04,0.49,
2012-12-05,0.45,
2012-12-06,0.43,
2012-12-07,0.36,
2012-12-08,.,No value available
2012-12-09,.,No value available
2012-12-10,0.33,
2012-12-11,0.37,
2012-12-12,0.39,
2012-12-13,0.37,
2012-12-14,0.39,
2012-12-15,.,No value available
2012-12-16,.,No value available
2012-12-17,0.42,
2012-12-18,0.43,
2012-12-19,0.45,
2012-12-20,0.45,
2012-12-21,0.44,
2012-12-22,.,No value available
2012-12-23,.,No value available
2012-12-24,.,No value available
2012-12-25,.,No value available
2012-12-26,.,No value available
2012-12-27,0.43,
2012-12-28,0.39,
2012-12-29,.,No value available
2012-12-30,.,No value available
2012-12-31,.,No value available
2013-01-01,.,No value available
2013-01-02,0.47,
2013-01-03,0.49,
2013-01-04,0.57,
2013-01-05,.,No value available
2013-01-06,.,No value available
2013-01-07,0.59,
2013-01-08,0.58,
2013-01-09,0.54,
2013-01-10,0.55,
2013-01-11,0.62,
2013-01-12,.,No value available
2013-01-13,.,No value available
2013-01-14,0.63,
2013-01-15,0.62,
2013-01-16,0.58,
2013-01-17,0.64,
2013-01-18,0.66,
2013-01-19,.,No value available
2013-01-20,.,No value available
2013-01-21,0.66,
2013-01-22,0.68,
2013-01-23,0.64,
2013-01-24,0.59,
2013-01-25,0.66,
2013-01-26,.,No value available
2013-01-27,.,No value available
2013-01-28,0.75,
2013-01-29,0.77,
2013-01-30,0.80,
2013-01-31,0.77,
2013-02-01,0.77,
2013-02-02,.,No value available
2013-02-03,.,No value available
2013-02-04,0.74,
2013-02-05,0.70,
2013-02-06,0.70,
2013-02-07,0.71,
2013-02-08,0.64,
2013-02-09,.,No value available
2013-02-10,.,No value available
2013-02-11,0.67,
2013-02-12,0.66,
2013-02-13,0.71,
2013-02-14,0.69,
2013-02-15,0.66,
2013-02-16,.,No value available
2013-02-17,.,No value available
2013-02-18,0.65,
2013-02-19,0.66,
2013-02-20,0.68,
2013-02-21,0.65,
2013-02-22,0.63,
2013-02-23,.,No value available
2013-02-24,.,No value available
2013-02-25,0.59,
2013-02-26,0.51,
2013-02-27,0.48,
2013-02-28,0.48,
2013-03-01,0.45,
2013-03-02,.,No value available
2013-03-03,.,No value available
2013-03-04,0.44,
2013-03-05,0.47,
2013-03-06,0.48,
2013-03-07,0.48,
2013-03-08,0.52,
2013-03-09,.,No value available
2013-03-10,.,No value available
2013-03-11,0.52,
2013-03-12,0.50,
2013-03-13,0.49,
2013-03-14,0.50,
2013-03-15,0.49,
2013-03-16,.,No value available
2013-03-17,.,No value available
2013-03-18,0.42,
2013-03-19,0.40,
2013-03-20,0.40,
2013-03-21,0.42,
2013-03-22,0.40,
2013-03-23,.,No value available
2013-03-24,.,No value available
2013-03-25,0.42,
2013-03-26,0.40,
2013-03-27,0.34,
2013-03-28,0.31,
2013-03-29,.,No value available
2013-03-30,.,No value available
2013-03-31,.,No value available
2013-04-01,.,No value available
2013-04-02,0.36,
2013-04-03,0.37,
2013-04-04,0.36,
2013-04-05,0.34,
2013-04-06,.,No value available
2013-04-07,.,No value available
2013-04-08,0.34,
2013-04-09,0.38,
2013-04-10,0.39,
2013-04-11,0.41,
2013-04-12,0.36,
2013-04-13,.,No value available
2013-04-14,.,No value available
2013-04-15,0.37,
2013-04-16,0.36,
2013-04-17,0.38,
2013-04-18,0.35,
2013-04-19,0.36,
2013-04-20,.,No value available
2013-04-21,.,No value available
2013-04-22,0.36,
2013-04-23,0.33,
2013-04-24,0.37,
2013-04-25,0.36,
2013-04-26,0.35,
2013-04-27,.,No value available
2013-04-28,.,No value available
2013-04-29,0.34,
2013-04-30,0.35,
2013-05-01,.,No value available
2013-05-02,0.36,
2013-05-03,0.32,
2013-05-04,.,No value available
2013-05-05,.,No value available
2013-05-06,0.37,
2013-05-07,0.39,
2013-05-08,0.41,
2013-05-09,0.37,
2013-05-10,0.42,
2013-05-11,.,No value available
2013-05-12,.,No value available
2013-05-13,0.44,
2013-05-14,0.44,
2013-05-15,0.44,
2013-05-16,0.44,
2013-05-17,0.37,
2013-05-18,.,No value available
2013-05-19,.,No value available
2013-05-20,0.41,
2013-05-21,0.42,
2013-05-22,0.44,
2013-05-23,0.42,
2013-05-24,0.49,
2013-05-25,.,No value available
2013-05-26,.,No value available
2013-05-27,0.47,
2013-05-28,0.49,
2013-05-29,0.54,
2013-05-30,0.54,
2013-05-31,0.50,
2013-06-01,.,No value available
2013-06-02,.,No value available
2013-06-03,0.56,
2013-06-04,0.59,
2013-06-05,0.59,
2013-06-06,0.54,
2013-06-07,0.57,
2013-06-08,.,No value available
2013-06-09,.,No value available
2013-06-10,0.61,
2013-06-11,0.71,
2013-06-12,0.68,
2013-06-13,0.63,
2013-06-14,0.59,
2013-06-15,.,No value available
2013-06-16,.,No value available
2013-06-17,0.59,
2013-06-18,0.61,
2013-06-19,0.62,
2013-06-20,0.73,
2013-06-21,0.76,
2013-06-22,.,No value available
2013-06-23,.,No value available
2013-06-24,0.87,
2013-06-25,0.82,
2013-06-26,0.80,
2013-06-27,0.77,
2013-06-28,0.74,
2013-06-29,.,No value available
2013-06-30,.,No value available
2013-07-01,0.79,
2013-07-02,0.73,
2013-07-03,0.68,
2013-07-04,0.71,
2013-07-05,0.65,
2013-07-06,.,No value available
2013-07-07,.,No value available
2013-07-08,0.67,
2013-07-09,0.65,
2013-07-10,0.61,
2013-07-11,0.62,
2013-07-12,0.59,
2013-07-13,.,No value available
2013-07-14,.,No value available
2013-07-15,0.61,
2013-07-16,0.58,
2013-07-17,0.59,
2013-07-18,0.55,
2013-07-19,0.54,
2013-07-20,.,No value available
2013-07-21,.,No value available
2013-07-22,0.56,
2013-07-23,0.59,
2013-07-24,0.65,
2013-07-25,0.67,
2013-07-26,0.68,
2013-07-27,.,No value available
2013-07-28,.,No value available
2013-07-29,0.69,
2013-07-30,0.69,
2013-07-31,0.71,
2013-08-01,0.64,
2013-08-02,0.75,
2013-08-03,.,No value available
2013-08-04,.,No value available
2013-08-05,0.69,
2013-08-06,0.73,
2013-08-07,0.71,
2013-08-08,0.72,
2013-08-09,0.72,
2013-08-10,.,No value available
2013-08-11,.,No value available
2013-08-12,0.74,
2013-08-13,0.79,
2013-08-14,0.82,
2013-08-15,0.83,
2013-08-16,0.87,
2013-08-17,.,No value available
2013-08-18,.,No value available
2013-08-19,0.88,
2013-08-20,0.85,
2013-08-21,0.85,
2013-08-22,0.92,
2013-08-23,0.95,
2013-08-24,.,No value available
2013-08-25,.,No value available
2013-08-26,0.93,
2013-08-27,0.88,
2013-08-28,0.85,
2013-08-29,0.88,
2013-08-30,0.85,
