"",BBK01.WT3219,BBK01.WT3219_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 5.0 years / daily data,
unit,PROZENT,
unit multiplier,one,
last update,2018-09-27 12:11:42,
2010-08-01,.,No value available
2010-08-02,1.80,
2010-08-03,1.76,
2010-08-04,1.66,
2010-08-05,1.69,
2010-08-06,1.67,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,1.63,
2010-08-10,1.62,
2010-08-11,1.56,
2010-08-12,1.49,
2010-08-13,1.50,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,1.45,
2010-08-17,1.48,
2010-08-18,1.45,
2010-08-19,1.45,
2010-08-20,1.41,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,1.41,
2010-08-24,1.38,
2010-08-25,1.36,
2010-08-26,1.34,
2010-08-27,1.34,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,1.35,
2010-08-31,1.32,
2010-09-01,1.36,
2010-09-02,1.42,
2010-09-03,1.44,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,1.44,
2010-09-07,1.41,
2010-09-08,1.35,
2010-09-09,1.46,
2010-09-10,1.49,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,1.57,
2010-09-14,1.51,
2010-09-15,1.54,
2010-09-16,1.62,
2010-09-17,1.65,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,1.64,
2010-09-21,1.65,
2010-09-22,1.55,
2010-09-23,1.48,
2010-09-24,1.48,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,1.48,
2010-09-28,1.47,
2010-09-29,1.47,
2010-09-30,1.48,
2010-10-01,1.58,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,1.51,
2010-10-05,1.50,
2010-10-06,1.49,
2010-10-07,1.49,
2010-10-08,1.49,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,1.49,
2010-10-12,1.43,
2010-10-13,1.50,
2010-10-14,1.49,
2010-10-15,1.50,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,1.55,
2010-10-19,1.62,
2010-10-20,1.62,
2010-10-21,1.69,
2010-10-22,1.73,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,1.71,
2010-10-26,1.75,
2010-10-27,1.81,
2010-10-28,1.80,
2010-10-29,1.78,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,1.73,
2010-11-02,1.73,
2010-11-03,1.72,
2010-11-04,1.74,
2010-11-05,1.59,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,1.62,
2010-11-09,1.60,
2010-11-10,1.67,
2010-11-11,1.60,
2010-11-12,1.64,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,1.76,
2010-11-16,1.77,
2010-11-17,1.79,
2010-11-18,1.87,
2010-11-19,1.90,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,1.92,
2010-11-23,1.83,
2010-11-24,1.75,
2010-11-25,1.85,
2010-11-26,1.83,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,1.86,
2010-11-30,1.80,
2010-12-01,1.85,
2010-12-02,1.92,
2010-12-03,1.91,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,1.87,
2010-12-07,1.91,
2010-12-08,2.03,
2010-12-09,2.07,
2010-12-10,2.09,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,2.11,
2010-12-14,2.10,
2010-12-15,2.17,
2010-12-16,2.17,
2010-12-17,2.17,
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,2.11,
2010-12-21,2.08,
2010-12-22,2.09,
2010-12-23,2.00,
2010-12-24,.,No value available
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,2.10,
2010-12-28,2.01,
2010-12-29,2.04,
2010-12-30,1.99,
2010-12-31,.,No value available
2011-01-01,.,No value available
2011-01-02,.,No value available
2011-01-03,1.97,
2011-01-04,1.96,
2011-01-05,1.94,
2011-01-06,2.04,
2011-01-07,1.99,
2011-01-08,.,No value available
2011-01-09,.,No value available
2011-01-10,1.96,
2011-01-11,1.92,
2011-01-12,2.03,
2011-01-13,2.08,
2011-01-14,2.19,
2011-01-15,.,No value available
2011-01-16,.,No value available
2011-01-17,2.17,
2011-01-18,2.24,
2011-01-19,2.25,
2011-01-20,2.26,
2011-01-21,2.36,
2011-01-22,.,No value available
2011-01-23,.,No value available
2011-01-24,2.37,
2011-01-25,2.32,
2011-01-26,2.38,
2011-01-27,2.42,
2011-01-28,2.44,
2011-01-29,.,No value available
2011-01-30,.,No value available
2011-01-31,2.44,
2011-02-01,2.44,
2011-02-02,2.45,
2011-02-03,2.48,
2011-02-04,2.44,
2011-02-05,.,No value available
2011-02-06,.,No value available
2011-02-07,2.48,
2011-02-08,2.46,
2011-02-09,2.51,
2011-02-10,2.50,
2011-02-11,2.49,
2011-02-12,.,No value available
2011-02-13,.,No value available
2011-02-14,2.49,
2011-02-15,2.51,
2011-02-16,2.47,
2011-02-17,2.44,
2011-02-18,2.39,
2011-02-19,.,No value available
2011-02-20,.,No value available
2011-02-21,2.43,
2011-02-22,2.39,
2011-02-23,2.42,
2011-02-24,2.41,
2011-02-25,2.43,
2011-02-26,.,No value available
2011-02-27,.,No value available
2011-02-28,2.40,
2011-03-01,2.47,
2011-03-02,2.44,
2011-03-03,2.51,
2011-03-04,2.66,
2011-03-05,.,No value available
2011-03-06,.,No value available
2011-03-07,2.65,
2011-03-08,2.63,
2011-03-09,2.63,
2011-03-10,2.60,
2011-03-11,2.53,
2011-03-12,.,No value available
2011-03-13,.,No value available
2011-03-14,2.59,
2011-03-15,2.42,
2011-03-16,2.43,
2011-03-17,2.41,
2011-03-18,2.44,
2011-03-19,.,No value available
2011-03-20,.,No value available
2011-03-21,2.53,
2011-03-22,2.62,
2011-03-23,2.58,
2011-03-24,2.58,
2011-03-25,2.61,
2011-03-26,.,No value available
2011-03-27,.,No value available
2011-03-28,2.66,
2011-03-29,2.66,
2011-03-30,2.70,
2011-03-31,2.71,
2011-04-01,2.75,
2011-04-02,.,No value available
2011-04-03,.,No value available
2011-04-04,2.74,
2011-04-05,2.73,
2011-04-06,2.75,
2011-04-07,2.80,
2011-04-08,2.84,
2011-04-09,.,No value available
2011-04-10,.,No value available
2011-04-11,2.86,
