"",BBK01.WT3449,BBK01.WT3449_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 20.0 years / daily data,
unit,PROZENT,
unit multiplier,one,
last update,2018-09-27 12:13:00,
2010-08-01,.,No value available
2010-08-02,3.58,
2010-08-03,3.56,
2010-08-04,3.48,
2010-08-05,3.46,
2010-08-06,3.42,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,3.38,
2010-08-10,3.43,
2010-08-11,3.40,
2010-08-12,3.35,
2010-08-13,3.36,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,3.29,
2010-08-17,3.24,
2010-08-18,3.17,
2010-08-19,3.20,
2010-08-20,3.13,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,3.09,
2010-08-24,3.04,
2010-08-25,2.93,
2010-08-26,2.88,
2010-08-27,2.76,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,2.84,
2010-08-31,2.82,
2010-09-01,2.89,
2010-09-02,3.03,
2010-09-03,3.09,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,3.15,
2010-09-07,3.08,
2010-09-08,2.98,
2010-09-09,3.08,
2010-09-10,3.11,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,3.25,
2010-09-14,3.14,
2010-09-15,3.20,
2010-09-16,3.28,
2010-09-17,3.33,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,3.30,
2010-09-21,3.27,
2010-09-22,3.13,
2010-09-23,3.12,
2010-09-24,3.11,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,3.14,
2010-09-28,3.08,
2010-09-29,3.06,
2010-09-30,3.06,
2010-10-01,3.07,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,3.02,
2010-10-05,3.02,
2010-10-06,3.04,
2010-10-07,3.07,
2010-10-08,3.08,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,3.10,
2010-10-12,3.04,
2010-10-13,3.12,
2010-10-14,3.13,
2010-10-15,3.18,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,3.21,
2010-10-19,3.24,
2010-10-20,3.20,
2010-10-21,3.21,
2010-10-22,3.21,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,3.20,
2010-10-26,3.21,
2010-10-27,3.25,
2010-10-28,3.28,
2010-10-29,3.26,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,3.18,
2010-11-02,3.14,
2010-11-03,3.11,
2010-11-04,3.23,
2010-11-05,3.17,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,3.19,
2010-11-09,3.18,
2010-11-10,3.24,
2010-11-11,3.21,
2010-11-12,3.28,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,3.34,
2010-11-16,3.37,
2010-11-17,3.39,
2010-11-18,3.44,
2010-11-19,3.46,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,3.46,
2010-11-23,3.40,
2010-11-24,3.34,
2010-11-25,3.45,
2010-11-26,3.45,
