"",BBK01.WT3215,BBK01.WT3215_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 3.0 years / daily data,
unit,PROZENT,
unit multiplier,one,
last update,2018-09-27 12:11:41,
2010-08-01,.,No value available
2010-08-02,1.15,
2010-08-03,1.11,
2010-08-04,1.03,
2010-08-05,1.08,
2010-08-06,1.06,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,1.03,
2010-08-10,1.02,
2010-08-11,0.97,
2010-08-12,0.88,
2010-08-13,0.90,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,0.86,
2010-08-17,0.90,
2010-08-18,0.88,
2010-08-19,0.90,
2010-08-20,0.85,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,0.84,
2010-08-24,0.82,
2010-08-25,0.81,
2010-08-26,0.82,
2010-08-27,0.83,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,0.83,
2010-08-31,0.81,
2010-09-01,0.83,
2010-09-02,0.88,
2010-09-03,0.89,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,0.89,
2010-09-07,0.87,
2010-09-08,0.82,
2010-09-09,0.90,
2010-09-10,0.94,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,1.01,
2010-09-14,0.96,
2010-09-15,0.99,
2010-09-16,1.06,
2010-09-17,1.09,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,1.07,
2010-09-21,1.09,
2010-09-22,1.02,
2010-09-23,0.96,
2010-09-24,0.95,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,0.96,
2010-09-28,0.96,
2010-09-29,0.97,
2010-09-30,1.00,
2010-10-01,1.09,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,1.03,
2010-10-05,1.02,
2010-10-06,1.00,
2010-10-07,1.01,
2010-10-08,1.01,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,1.00,
2010-10-12,0.95,
2010-10-13,1.01,
2010-10-14,1.01,
2010-10-15,1.01,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,1.06,
2010-10-19,1.13,
2010-10-20,1.13,
2010-10-21,1.19,
2010-10-22,1.23,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,1.22,
2010-10-26,1.24,
2010-10-27,1.29,
2010-10-28,1.29,
2010-10-29,1.26,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,1.23,
2010-11-02,1.24,
2010-11-03,1.23,
2010-11-04,1.25,
2010-11-05,1.12,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,1.15,
2010-11-09,1.14,
2010-11-10,1.20,
2010-11-11,1.12,
2010-11-12,1.15,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,1.26,
2010-11-16,1.26,
2010-11-17,1.26,
2010-11-18,1.32,
2010-11-19,1.35,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,1.36,
2010-11-23,1.26,
2010-11-24,1.17,
2010-11-25,1.25,
2010-11-26,1.22,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,1.23,
2010-11-30,1.18,
2010-12-01,1.21,
2010-12-02,1.24,
2010-12-03,1.22,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,1.17,
2010-12-07,1.19,
2010-12-08,1.30,
2010-12-09,1.36,
2010-12-10,1.39,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,1.44,
2010-12-14,1.40,
2010-12-15,1.44,
2010-12-16,1.45,
2010-12-17,1.45,
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,1.40,
2010-12-21,1.39,
2010-12-22,1.39,
2010-12-23,1.29,
2010-12-24,.,No value available
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,1.36,
2010-12-28,1.27,
2010-12-29,1.28,
2010-12-30,1.25,
2010-12-31,.,No value available
2011-01-01,.,No value available
2011-01-02,.,No value available
2011-01-03,1.22,
2011-01-04,1.22,
2011-01-05,1.21,
2011-01-06,1.31,
