"date","retweet","total_count"
2016-04-09,TRUE,18180
2016-04-10,FALSE,8079
2016-04-10,TRUE,18555
2016-04-11,TRUE,19159
2016-04-11,FALSE,12663
2016-04-12,FALSE,23454
2016-04-12,TRUE,31717
2016-04-13,FALSE,18615
2016-04-13,TRUE,28494
2016-04-14,FALSE,22011
2016-04-14,TRUE,30307
2016-04-15,FALSE,22607
2016-04-15,TRUE,31496
2016-04-16,FALSE,14275
2016-04-16,TRUE,27728
2016-04-17,FALSE,18267
2016-04-17,TRUE,30920
2016-04-18,TRUE,44969
2016-04-18,FALSE,31282
2016-04-19,TRUE,37038
2016-04-19,FALSE,26053
2016-04-20,FALSE,22681
2016-04-20,TRUE,29508
2016-04-21,FALSE,20069
2016-04-21,TRUE,30145
2016-04-22,FALSE,41781
2016-04-22,TRUE,54891
2016-04-23,TRUE,42830
2016-04-23,FALSE,24325
2016-04-24,TRUE,43131
2016-04-24,FALSE,24484
2016-04-25,TRUE,38339
2016-04-25,FALSE,22329
2016-04-26,FALSE,19702
2016-04-26,TRUE,35348
2016-04-27,TRUE,31912
2016-04-27,FALSE,20173
2016-04-28,FALSE,21237
2016-04-28,TRUE,34773
2016-04-29,FALSE,14903
2016-04-29,TRUE,26299
2016-05-01,FALSE,8128
2016-05-01,TRUE,20881
2016-05-02,TRUE,28297
2016-05-02,FALSE,12339
2016-05-03,FALSE,16463
2016-05-03,TRUE,30461
2016-05-04,FALSE,16961
2016-05-04,TRUE,30592
2016-05-05,TRUE,29226
2016-05-05,FALSE,15281
2016-05-06,FALSE,17498
2016-05-06,TRUE,32395
2016-05-07,TRUE,26749
2016-05-07,FALSE,10295
2016-05-08,TRUE,31950
2016-05-08,FALSE,16453
2016-05-09,TRUE,60121
2016-05-09,FALSE,36362
2016-05-10,TRUE,54632
2016-05-10,FALSE,29176
2016-05-11,FALSE,29628
2016-05-11,TRUE,52350
2016-05-12,TRUE,53876
2016-05-12,FALSE,37241
2016-05-13,FALSE,39906
2016-05-13,TRUE,59926
2016-05-14,TRUE,63678
2016-05-14,FALSE,35618
2016-05-15,FALSE,35004
2016-05-15,TRUE,61193
2016-05-16,FALSE,36791
2016-05-16,TRUE,59265
2016-05-17,FALSE,39528
2016-05-17,TRUE,59361
2016-05-18,FALSE,32347
2016-05-18,TRUE,57485
2016-05-19,FALSE,31685
2016-05-19,TRUE,54457
2016-05-20,TRUE,56907
2016-05-20,FALSE,36208
2016-05-21,FALSE,31495
2016-05-21,TRUE,64899
2016-05-22,TRUE,68362
2016-05-22,FALSE,35080
2016-05-23,FALSE,54354
2016-05-23,TRUE,83802
2016-05-24,TRUE,75085
2016-05-24,FALSE,48380
2016-05-25,FALSE,36433
2016-05-25,TRUE,68478
2016-05-26,FALSE,51138
2016-05-26,TRUE,81825
2016-05-27,TRUE,65423
2016-05-27,FALSE,43866
2016-05-28,FALSE,26739
2016-05-28,TRUE,58774
2016-05-29,FALSE,30868
2016-05-29,TRUE,60332
2016-05-30,FALSE,32005
2016-05-30,TRUE,68083
2016-05-31,FALSE,54641
2016-05-31,TRUE,95095
2016-06-01,FALSE,57744
2016-06-01,TRUE,93623
2016-06-02,FALSE,63906
2016-06-02,TRUE,105025
2016-06-03,TRUE,112607
2016-06-03,FALSE,62913
2016-06-04,TRUE,82659
2016-06-04,FALSE,41592
2016-06-05,FALSE,55819
2016-06-05,TRUE,109189
2016-06-06,FALSE,76596
2016-06-06,TRUE,129824
2016-06-07,FALSE,85024
2016-06-07,TRUE,152069
2016-06-08,TRUE,127898
2016-06-08,FALSE,77174
2016-06-09,TRUE,155820
2016-06-09,FALSE,97183
2016-06-10,TRUE,137785
2016-06-10,FALSE,84123
2016-06-11,FALSE,69462
2016-06-11,TRUE,139185
2016-06-12,TRUE,139684
2016-06-12,FALSE,65417
2016-06-13,FALSE,90674
2016-06-13,TRUE,149849
2016-06-14,FALSE,122583
2016-06-14,TRUE,195393
2016-06-15,TRUE,267606
2016-06-15,FALSE,150598
2016-06-16,TRUE,175064
2016-06-16,FALSE,123770
2016-06-17,TRUE,113891
2016-06-17,FALSE,88775
2016-06-18,FALSE,76641
2016-06-18,TRUE,146039
2016-06-19,FALSE,115461
2016-06-19,TRUE,260386
2016-06-20,FALSE,192285
2016-06-20,TRUE,295978
2016-06-21,TRUE,403596
2016-06-21,FALSE,255531
2016-06-22,FALSE,312667
2016-06-22,TRUE,528857
2016-06-23,FALSE,527735
2016-06-23,TRUE,815614
2016-06-24,FALSE,2002181
2016-06-24,TRUE,3856838
2016-06-25,TRUE,970664
2016-06-25,FALSE,602579
2016-06-26,FALSE,453794
2016-06-26,TRUE,733504
2016-06-27,TRUE,710463
2016-06-27,FALSE,649501
2016-06-28,FALSE,452955
2016-06-28,TRUE,531331
2016-06-29,FALSE,314198
2016-06-29,TRUE,379151
2016-06-30,TRUE,291406
2016-06-30,FALSE,258325
2016-07-01,FALSE,187742
2016-07-01,TRUE,197075
2016-07-02,FALSE,130351
2016-07-02,TRUE,174964
2016-07-03,TRUE,149370
2016-07-03,FALSE,116817
2016-07-04,TRUE,227704
2016-07-04,FALSE,178868
2016-07-05,FALSE,158670
2016-07-05,TRUE,185221
2016-07-06,TRUE,133175
2016-07-06,FALSE,133767
2016-07-07,FALSE,109904
2016-07-07,TRUE,109859
2016-07-08,FALSE,101719
2016-07-08,TRUE,100936
2016-07-09,TRUE,81030
2016-07-09,FALSE,68471
2016-07-10,TRUE,72760
2016-07-10,FALSE,55344
2016-07-11,TRUE,124633
2016-07-11,FALSE,100220
2016-07-12,FALSE,86517
2016-07-12,TRUE,92719
2016-07-13,FALSE,98388
2016-07-13,TRUE,113311
2016-07-14,FALSE,86180
2016-07-14,TRUE,95398
2016-07-15,FALSE,62618
2016-07-15,TRUE,68417
2016-07-16,TRUE,54512
2016-07-16,FALSE,38768
2016-07-17,TRUE,69779
2016-07-17,FALSE,49891
2016-07-18,FALSE,64650
2016-07-18,TRUE,67428
2016-07-19,FALSE,64060
2016-07-19,TRUE,58593
2016-07-20,TRUE,67816
2016-07-20,FALSE,65817
2016-07-21,TRUE,58579
2016-07-21,FALSE,61021
2016-07-22,TRUE,61497
2016-07-22,FALSE,64595
2016-07-23,FALSE,36762
2016-07-23,TRUE,40429
2016-07-24,TRUE,53527
2016-07-24,FALSE,46713
2016-07-25,FALSE,51635
2016-07-25,TRUE,56679
2016-07-26,FALSE,44526
2016-07-26,TRUE,43992
2016-07-27,FALSE,54925
2016-07-27,TRUE,57885
2016-07-28,FALSE,48609
2016-07-28,TRUE,55839
2016-07-29,TRUE,47625
2016-07-29,FALSE,41853
2016-07-30,FALSE,22115
2016-07-30,TRUE,33373
2016-07-31,TRUE,32240
2016-07-31,FALSE,21646
2016-08-01,TRUE,39212
2016-08-01,FALSE,37363
2016-08-02,TRUE,37326
2016-08-02,FALSE,34156
2016-08-03,TRUE,37495
2016-08-03,FALSE,35226
2016-08-04,FALSE,41308
2016-08-04,TRUE,43688
2016-08-05,FALSE,31401
2016-08-05,TRUE,37469
2016-08-06,TRUE,22530
2016-08-06,FALSE,18865
2016-08-07,FALSE,21657
2016-08-07,TRUE,29132
2016-08-08,TRUE,34487
2016-08-08,FALSE,29091
2016-08-09,TRUE,31115
2016-08-09,FALSE,28662
2016-08-10,FALSE,30662
2016-08-10,TRUE,38199
2016-08-11,FALSE,26348
2016-08-11,TRUE,28476
2016-08-12,FALSE,22577
2016-08-12,TRUE,24810
2016-08-13,FALSE,20794
2016-08-13,TRUE,22923
2016-08-14,TRUE,36290
2016-08-14,FALSE,23354
2016-08-15,TRUE,27920
2016-08-15,FALSE,29041
2016-08-16,TRUE,29949
2016-08-16,FALSE,31611
2016-08-17,TRUE,30540
2016-08-17,FALSE,30582
2016-08-18,FALSE,43542
2016-08-18,TRUE,66820
2016-08-19,TRUE,29832
2016-08-19,FALSE,28820
2016-08-20,TRUE,21824
2016-08-20,FALSE,19589
2016-08-21,TRUE,25721
2016-08-21,FALSE,21745
2016-08-22,TRUE,29298
2016-08-22,FALSE,30801
2016-08-23,FALSE,30017
2016-08-23,TRUE,29765
2016-08-24,FALSE,34734
2016-08-24,TRUE,37474
2016-08-25,TRUE,55306
2016-08-25,FALSE,40211
2016-08-26,FALSE,30173
2016-08-26,TRUE,27570
2016-08-27,TRUE,25158
2016-08-27,FALSE,23317
2016-08-28,TRUE,28514
2016-08-28,FALSE,24936
2016-08-29,FALSE,24256
2016-08-29,TRUE,26625
2016-08-30,FALSE,28268
2016-08-30,TRUE,28474
2016-08-31,TRUE,61058
2016-08-31,FALSE,39222
2016-09-01,FALSE,31706
2016-09-01,TRUE,47144
2016-09-02,FALSE,27171
2016-09-02,TRUE,34269
2016-09-03,FALSE,26044
2016-09-03,TRUE,31414
2016-09-04,TRUE,50911
2016-09-04,FALSE,42891
2016-09-05,FALSE,58334
2016-09-05,TRUE,86616
2016-09-06,TRUE,45040
2016-09-06,FALSE,33492
2016-09-07,FALSE,41491
2016-09-07,TRUE,48814
2016-09-08,TRUE,23940
2016-09-08,FALSE,16397
2016-09-09,FALSE,29326
2016-09-09,TRUE,35767
2016-09-10,TRUE,31539
2016-09-10,FALSE,22538
2016-09-11,FALSE,26086
2016-09-11,TRUE,31616
2016-09-12,FALSE,31921
2016-09-12,TRUE,41997
2016-09-13,TRUE,41304
2016-09-13,FALSE,30619
2016-09-14,TRUE,47935
2016-09-14,FALSE,37233
2016-09-15,TRUE,38307
2016-09-15,FALSE,32834
2016-09-16,FALSE,31149
2016-09-16,TRUE,35356
2016-09-17,TRUE,28002
2016-09-17,FALSE,25170
2016-09-18,FALSE,20366
2016-09-18,TRUE,29264
2016-09-19,TRUE,32087
2016-09-19,FALSE,26805
2016-09-20,TRUE,36188
2016-09-20,FALSE,30606
2016-09-21,TRUE,36638
2016-09-21,FALSE,31150
2016-09-22,FALSE,34161
2016-09-22,TRUE,40654
2016-09-23,TRUE,34452
2016-09-23,FALSE,28726
2016-09-24,TRUE,23155
2016-09-24,FALSE,18426
2016-09-25,FALSE,21882
2016-09-25,TRUE,28906
2016-09-26,TRUE,19453
2016-09-26,FALSE,17140
2016-10-01,TRUE,35619
2016-10-01,FALSE,27216
2016-10-03,TRUE,61165
2016-10-03,FALSE,46559
2016-10-04,FALSE,56479
2016-10-04,TRUE,89911
2016-10-05,FALSE,43700
2016-10-05,TRUE,66399
