"",BBK01.WT3213,BBK01.WT3213_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 2.0 years / daily data,
unit,PROZENT,
unit multiplier,one,
last update,2018-09-27 12:11:41,
2010-08-01,.,No value available
2010-08-02,0.82,
2010-08-03,0.78,
2010-08-04,0.74,
2010-08-05,0.78,
2010-08-06,0.78,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,0.76,
2010-08-10,0.74,
2010-08-11,0.70,
2010-08-12,0.62,
2010-08-13,0.64,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,0.60,
2010-08-17,0.64,
2010-08-18,0.63,
2010-08-19,0.65,
2010-08-20,0.60,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,0.58,
2010-08-24,0.57,
2010-08-25,0.57,
2010-08-26,0.58,
2010-08-27,0.59,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,0.59,
2010-08-31,0.58,
2010-09-01,0.59,
2010-09-02,0.63,
2010-09-03,0.63,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,0.64,
2010-09-07,0.63,
2010-09-08,0.60,
2010-09-09,0.65,
2010-09-10,0.70,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,0.74,
2010-09-14,0.71,
2010-09-15,0.73,
2010-09-16,0.80,
2010-09-17,0.82,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,0.80,
2010-09-21,0.81,
2010-09-22,0.76,
2010-09-23,0.71,
2010-09-24,0.70,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,0.71,
2010-09-28,0.73,
2010-09-29,0.74,
2010-09-30,0.78,
2010-10-01,0.87,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,0.82,
2010-10-05,0.81,
2010-10-06,0.78,
2010-10-07,0.81,
2010-10-08,0.80,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,0.79,
2010-10-12,0.76,
2010-10-13,0.81,
2010-10-14,0.80,
2010-10-15,0.81,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,0.86,
2010-10-19,0.91,
2010-10-20,0.92,
2010-10-21,0.97,
2010-10-22,1.01,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,0.99,
2010-10-26,1.01,
2010-10-27,1.05,
2010-10-28,1.04,
2010-10-29,1.03,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,1.00,
2010-11-02,1.02,
2010-11-03,1.02,
2010-11-04,1.03,
2010-11-05,0.93,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,0.95,
2010-11-09,0.95,
2010-11-10,0.99,
2010-11-11,0.93,
2010-11-12,0.94,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,1.03,
2010-11-16,1.03,
2010-11-17,1.02,
2010-11-18,1.05,
2010-11-19,1.07,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,1.08,
2010-11-23,0.99,
2010-11-24,0.90,
2010-11-25,0.96,
2010-11-26,0.93,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,0.93,
2010-11-30,0.88,
2010-12-01,0.90,
2010-12-02,0.90,
